MB (UR),2-digit level  MTWP Method of Travel to Work,Count
40000840000,Walked only,8
40000840000,Train,0
40000840000,Bus,0
40000840000,Taxi/ride-share service,0
40000840000,Other Mode,0
40000840000,Total,31
40000862000,Motorbike/scooter,0
40000862000,"Car, as driver",0
40000862000,"Car, as passenger",0
40000862000,Bicycle,0
40000862000,Walked only,0
40000862000,Train,0
40000862000,Bus,0
40000862000,Taxi/ride-share service,0
40000862000,Other Mode,0
40000862000,Total,0
40000880000,Motorbike/scooter,0
40000880000,"Car, as driver",19
40000880000,"Car, as passenger",0
40000880000,Bicycle,0
40000880000,Walked only,0
40000880000,Train,0
40000880000,Bus,0
40000880000,Taxi/ride-share service,0
40000880000,Other Mode,0
40000880000,Total,24
40000891000,Motorbike/scooter,0
40000891000,"Car, as driver",0
40000891000,"Car, as passenger",0
40000891000,Bicycle,0
40000891000,Walked only,0
40000891000,Train,0
40000891000,Bus,0
40000891000,Taxi/ride-share service,0
40000891000,Other Mode,0
40000891000,Total,0
40000892000,Motorbike/scooter,0
40000892000,"Car, as driver",0
40000892000,"Car, as passenger",0
40000892000,Bicycle,0
40000892000,Walked only,0
40000892000,Train,0
40000892000,Bus,0
40000892000,Taxi/ride-share service,0
40000892000,Other Mode,0
40000892000,Total,0
40000900000,Motorbike/scooter,0
40000900000,"Car, as driver",21
40000900000,"Car, as passenger",0
40000900000,Bicycle,3
40000900000,Walked only,6
40000900000,Train,0
40000900000,Bus,9
40000900000,Taxi/ride-share service,0
40000900000,Other Mode,0
40000900000,Total,37
40000910000,Motorbike/scooter,0
40000910000,"Car, as driver",0
40000910000,"Car, as passenger",3
40000910000,Bicycle,0
40000910000,Walked only,0
40000910000,Train,0
40000910000,Bus,0
40000910000,Taxi/ride-share service,0
40000910000,Other Mode,0
40000910000,Total,11
40000921000,Motorbike/scooter,0
40000921000,"Car, as driver",10
40000921000,"Car, as passenger",0
40000921000,Bicycle,0
40000921000,Walked only,5
40000921000,Train,0
40000921000,Bus,4
40000921000,Taxi/ride-share service,0
40000921000,Other Mode,0
40000921000,Total,18
40000922000,Motorbike/scooter,0
40000922000,"Car, as driver",3
40000922000,"Car, as passenger",0
40000922000,Bicycle,0
40000922000,Walked only,0
40000922000,Train,0
40000922000,Bus,0
40000922000,Taxi/ride-share service,0
40000922000,Other Mode,0
40000922000,Total,3
40001250000,Motorbike/scooter,0
40001250000,"Car, as driver",6
40001250000,"Car, as passenger",0
40001250000,Bicycle,0
40001250000,Walked only,3
40001250000,Train,0
40001250000,Bus,0
40001250000,Taxi/ride-share service,0
40001250000,Other Mode,0
40001250000,Total,14
40001260000,Motorbike/scooter,0
40001260000,"Car, as driver",21
40001260000,"Car, as passenger",0
40001260000,Bicycle,0
40001260000,Walked only,9
40001260000,Train,0
40001260000,Bus,0
40001260000,Taxi/ride-share service,0
40001260000,Other Mode,0
40001260000,Total,30
40001270000,Motorbike/scooter,0
40001270000,"Car, as driver",20
40001270000,"Car, as passenger",3
40001270000,Bicycle,0
40001270000,Walked only,13
40001270000,Train,0
40001270000,Bus,4
40001270000,Taxi/ride-share service,0
40001270000,Other Mode,0
40001270000,Total,42
40001280000,Motorbike/scooter,0
40001280000,"Car, as driver",4
40001280000,"Car, as passenger",0
40001280000,Bicycle,0
40001280000,Walked only,0
40001280000,Train,0
40001280000,Bus,0
40001280000,Taxi/ride-share service,0
40001280000,Other Mode,0
40001280000,Total,3
40001291000,Motorbike/scooter,0
40001291000,"Car, as driver",5
40001291000,"Car, as passenger",0
40001291000,Bicycle,0
40001291000,Walked only,0
40001291000,Train,0
40001291000,Bus,0
40001291000,Taxi/ride-share service,0
40001291000,Other Mode,0
40001291000,Total,3
40001292000,Motorbike/scooter,0
40001292000,"Car, as driver",6
40001292000,"Car, as passenger",0
40001292000,Bicycle,0
40001292000,Walked only,0
40001292000,Train,0
40001292000,Bus,0
40001292000,Taxi/ride-share service,0
40001292000,Other Mode,0
40001292000,Total,14
40001300000,Motorbike/scooter,0
40001300000,"Car, as driver",19
40001300000,"Car, as passenger",0
40001300000,Bicycle,0
40001300000,Walked only,5
40001300000,Train,0
40001300000,Bus,0
40001300000,Taxi/ride-share service,0
40001300000,Other Mode,0
40001300000,Total,27
40001450000,Motorbike/scooter,0
40001450000,"Car, as driver",7
40001450000,"Car, as passenger",0
40001450000,Bicycle,0
40001450000,Walked only,0
40001450000,Train,0
40001450000,Bus,0
40001450000,Taxi/ride-share service,0
40001450000,Other Mode,0
40001450000,Total,4
40001480000,Motorbike/scooter,0
40001480000,"Car, as driver",16
40001480000,"Car, as passenger",0
40001480000,Bicycle,0
40001480000,Walked only,0
40001480000,Train,0
40001480000,Bus,3
40001480000,Taxi/ride-share service,0
40001480000,Other Mode,0
40001480000,Total,19
40001490000,Motorbike/scooter,0
40001490000,"Car, as driver",16
40001490000,"Car, as passenger",0
40001490000,Bicycle,0
40001490000,Walked only,9
40001490000,Train,0
40001490000,Bus,4
40001490000,Taxi/ride-share service,0
40001490000,Other Mode,0
40001490000,Total,32
40001751000,Motorbike/scooter,0
40001751000,"Car, as driver",3
40001751000,"Car, as passenger",0
40001751000,Bicycle,0
40001751000,Walked only,0
40001751000,Train,0
40001751000,Bus,0
40001751000,Taxi/ride-share service,0
40001751000,Other Mode,0
40001751000,Total,7
40001752000,Motorbike/scooter,0
40001752000,"Car, as driver",4
40001752000,"Car, as passenger",0
40001752000,Bicycle,0
40001752000,Walked only,9
40001752000,Train,0
40001752000,Bus,0
40001752000,Taxi/ride-share service,0
40001752000,Other Mode,0
40001752000,Total,14
40001760000,Motorbike/scooter,0
40001760000,"Car, as driver",6
40001760000,"Car, as passenger",0
40001760000,Bicycle,0
40001760000,Walked only,6
40001760000,Train,0
40001760000,Bus,0
40001760000,Taxi/ride-share service,0
40001760000,Other Mode,0
40001760000,Total,12
40001780000,Motorbike/scooter,0
40001780000,"Car, as driver",25
40001780000,"Car, as passenger",4
40001780000,Bicycle,0
40001780000,Walked only,10
40001780000,Train,0
40001780000,Bus,6
40001780000,Taxi/ride-share service,0
40001780000,Other Mode,0
40001780000,Total,45
40001790000,Motorbike/scooter,0
40001790000,"Car, as driver",18
40001790000,"Car, as passenger",7
40001790000,Bicycle,0
40001790000,Walked only,3
40001790000,Train,0
40001790000,Bus,0
40001790000,Taxi/ride-share service,0
40001790000,Other Mode,0
40001790000,Total,31
40001900000,Motorbike/scooter,0
40001900000,"Car, as driver",23
40001900000,"Car, as passenger",0
40001900000,Bicycle,0
40001900000,Walked only,8
40001900000,Train,0
40001900000,Bus,0
40001900000,Taxi/ride-share service,0
40001900000,Other Mode,0
40001900000,Total,44
40001910000,Motorbike/scooter,0
40001910000,"Car, as driver",8
40001910000,"Car, as passenger",0
40001910000,Bicycle,0
40001910000,Walked only,3
40001910000,Train,0
40001910000,Bus,0
40001910000,Taxi/ride-share service,0
40001910000,Other Mode,0
40001910000,Total,17
40001920000,Motorbike/scooter,0
40001920000,"Car, as driver",14
40001920000,"Car, as passenger",0
40001920000,Bicycle,4
40001920000,Walked only,0
40001920000,Train,0
40001920000,Bus,0
40001920000,Taxi/ride-share service,0
40001920000,Other Mode,0
40001920000,Total,15
40001930000,Motorbike/scooter,0
40001930000,"Car, as driver",4
40001930000,"Car, as passenger",0
40001930000,Bicycle,0
40001930000,Walked only,4
40001930000,Train,0
40001930000,Bus,3
40001930000,Taxi/ride-share service,0
40001930000,Other Mode,0
40001930000,Total,8
40001940000,Motorbike/scooter,0
40001940000,"Car, as driver",26
40001940000,"Car, as passenger",0
40001940000,Bicycle,0
40001940000,Walked only,0
40001940000,Train,0
40001940000,Bus,0
40001940000,Taxi/ride-share service,0
40001940000,Other Mode,0
40001940000,Total,29
40001950000,Motorbike/scooter,0
40001950000,"Car, as driver",15
40001950000,"Car, as passenger",0
40001950000,Bicycle,0
40001950000,Walked only,0
40001950000,Train,0
40001950000,Bus,0
40001950000,Taxi/ride-share service,0
40001950000,Other Mode,0
40001950000,Total,21
40001960000,Motorbike/scooter,0
40001960000,"Car, as driver",8
40001960000,"Car, as passenger",0
40001960000,Bicycle,0
40001960000,Walked only,3
40001960000,Train,0
40001960000,Bus,5
40001960000,Taxi/ride-share service,0
40001960000,Other Mode,0
40001960000,Total,13
40001970000,Motorbike/scooter,0
40001970000,"Car, as driver",13
40001970000,"Car, as passenger",0
40001970000,Bicycle,0
40001970000,Walked only,0
40001970000,Train,0
40001970000,Bus,0
40001970000,Taxi/ride-share service,0
40001970000,Other Mode,0
40001970000,Total,26
40001981000,Motorbike/scooter,0
40001981000,"Car, as driver",3
40001981000,"Car, as passenger",0
40001981000,Bicycle,0
40001981000,Walked only,0
40001981000,Train,0
40001981000,Bus,0
40001981000,Taxi/ride-share service,0
40001981000,Other Mode,0
40001981000,Total,9
40001982000,Motorbike/scooter,0
40001982000,"Car, as driver",12
40001982000,"Car, as passenger",0
40001982000,Bicycle,0
40001982000,Walked only,0
40001982000,Train,0
40001982000,Bus,9
40001982000,Taxi/ride-share service,0
40001982000,Other Mode,0
40001982000,Total,14
40001990000,Motorbike/scooter,0
40001990000,"Car, as driver",10
40001990000,"Car, as passenger",0
40001990000,Bicycle,0
40001990000,Walked only,7
40001990000,Train,0
40001990000,Bus,5
40001990000,Taxi/ride-share service,0
40001990000,Other Mode,0
40001990000,Total,16
40002000000,Motorbike/scooter,0
40002000000,"Car, as driver",20
40002000000,"Car, as passenger",0
40002000000,Bicycle,0
40002000000,Walked only,5
40002000000,Train,0
40002000000,Bus,0
40002000000,Taxi/ride-share service,0
40002000000,Other Mode,0
40002000000,Total,31
40002010000,Motorbike/scooter,0
40002010000,"Car, as driver",11
40002010000,"Car, as passenger",0
40002010000,Bicycle,0
40002010000,Walked only,6
40002010000,Train,0
40002010000,Bus,0
40002010000,Taxi/ride-share service,0
40002010000,Other Mode,0
40002010000,Total,19
40002020000,Motorbike/scooter,5
40002020000,"Car, as driver",16
40002020000,"Car, as passenger",0
40002020000,Bicycle,0
40002020000,Walked only,3
40002020000,Train,0
40002020000,Bus,0
40002020000,Taxi/ride-share service,0
40002020000,Other Mode,0
40002020000,Total,22
40002031000,Motorbike/scooter,0
40002031000,"Car, as driver",13
40002031000,"Car, as passenger",0
40002031000,Bicycle,0
40002031000,Walked only,3
40002031000,Train,0
40002031000,Bus,0
40002031000,Taxi/ride-share service,0
40002031000,Other Mode,0
40002031000,Total,14
40002040000,Motorbike/scooter,0
40002040000,"Car, as driver",35
40002040000,"Car, as passenger",0
40002040000,Bicycle,0
40002040000,Walked only,7
40002040000,Train,0
40002040000,Bus,0
40002040000,Taxi/ride-share service,0
40002040000,Other Mode,0
40002040000,Total,47
40002150000,Motorbike/scooter,0
40002150000,"Car, as driver",0
40002150000,"Car, as passenger",0
40002150000,Bicycle,0
40002150000,Walked only,0
40002150000,Train,0
40002150000,Bus,0
40002150000,Taxi/ride-share service,0
40002150000,Other Mode,0
40002150000,Total,0
40002170000,Motorbike/scooter,0
40002170000,"Car, as driver",12
40002170000,"Car, as passenger",0
40002170000,Bicycle,0
40002170000,Walked only,3
40002170000,Train,0
40002170000,Bus,0
40002170000,Taxi/ride-share service,0
40002170000,Other Mode,0
40002170000,Total,18
40002450000,Motorbike/scooter,0
40002450000,"Car, as driver",12
40002450000,"Car, as passenger",0
40002450000,Bicycle,0
40002450000,Walked only,8
40002450000,Train,0
40002450000,Bus,0
40002450000,Taxi/ride-share service,0
40002450000,Other Mode,0
40002450000,Total,19
40002460000,Motorbike/scooter,0
40002460000,"Car, as driver",13
40002460000,"Car, as passenger",0
40002460000,Bicycle,0
40002460000,Walked only,11
40002460000,Train,0
40002460000,Bus,3
40002460000,Taxi/ride-share service,0
40002460000,Other Mode,0
40002460000,Total,33
40002470000,Motorbike/scooter,0
40002470000,"Car, as driver",7
40002470000,"Car, as passenger",0
40002470000,Bicycle,0
40002470000,Walked only,0
40002470000,Train,0
40002470000,Bus,6
40002470000,Taxi/ride-share service,0
40002470000,Other Mode,0
40002470000,Total,13
40002481000,Motorbike/scooter,0
40002481000,"Car, as driver",4
40002481000,"Car, as passenger",0
40002481000,Bicycle,0
40002481000,Walked only,0
40002481000,Train,0
40002481000,Bus,4
40002481000,Taxi/ride-share service,0
40002481000,Other Mode,0
40002481000,Total,7
40002482000,Motorbike/scooter,0
40002482000,"Car, as driver",0
40002482000,"Car, as passenger",0
40002482000,Bicycle,0
40002482000,Walked only,0
40002482000,Train,0
40002482000,Bus,0
40002482000,Taxi/ride-share service,0
40002482000,Other Mode,0
40002482000,Total,0
40002491000,Motorbike/scooter,0
40002491000,"Car, as driver",3
40002491000,"Car, as passenger",0
40002491000,Bicycle,0
40002491000,Walked only,0
40002491000,Train,0
40002491000,Bus,5
40002491000,Taxi/ride-share service,0
40002491000,Other Mode,0
40002491000,Total,9
40002492000,Motorbike/scooter,0
40002492000,"Car, as driver",5
40002492000,"Car, as passenger",0
40002492000,Bicycle,0
40002492000,Walked only,0
40002492000,Train,0
40002492000,Bus,5
40002492000,Taxi/ride-share service,0
40002492000,Other Mode,0
40002492000,Total,14
40002500000,Motorbike/scooter,0
40002500000,"Car, as driver",26
40002500000,"Car, as passenger",0
40002500000,Bicycle,0
40002500000,Walked only,0
40002500000,Train,0
40002500000,Bus,4
40002500000,Taxi/ride-share service,0
40002500000,Other Mode,0
40002500000,Total,37
40002630000,Motorbike/scooter,0
40002630000,"Car, as driver",7
40002630000,"Car, as passenger",0
40002630000,Bicycle,0
40002630000,Walked only,5
40002630000,Train,0
40002630000,Bus,6
40002630000,Taxi/ride-share service,0
40002630000,Other Mode,0
40002630000,Total,10
40002640000,Motorbike/scooter,0
40002640000,"Car, as driver",21
40002640000,"Car, as passenger",0
40002640000,Bicycle,0
40002640000,Walked only,3
40002640000,Train,0
40002640000,Bus,3
40002640000,Taxi/ride-share service,0
40002640000,Other Mode,0
40002640000,Total,31
40002650000,Motorbike/scooter,0
40002650000,"Car, as driver",24
40002650000,"Car, as passenger",3
40002650000,Bicycle,7
40002650000,Walked only,5
40002650000,Train,0
40002650000,Bus,3
40002650000,Taxi/ride-share service,0
40002650000,Other Mode,0
40002650000,Total,37
40002660000,Motorbike/scooter,0
40002660000,"Car, as driver",27
40002660000,"Car, as passenger",0
40002660000,Bicycle,0
40002660000,Walked only,0
40002660000,Train,0
40002660000,Bus,4
40002660000,Taxi/ride-share service,0
40002660000,Other Mode,0
40002660000,Total,33
40002671000,Motorbike/scooter,0
40002671000,"Car, as driver",0
40002671000,"Car, as passenger",0
40002671000,Bicycle,0
40002671000,Walked only,0
40002671000,Train,0
40002671000,Bus,0
40002671000,Taxi/ride-share service,0
40002671000,Other Mode,0
40002671000,Total,0
40002672000,Motorbike/scooter,0
40002672000,"Car, as driver",0
40002672000,"Car, as passenger",0
40002672000,Bicycle,0
40002672000,Walked only,0
40002672000,Train,0
40002672000,Bus,0
40002672000,Taxi/ride-share service,0
40002672000,Other Mode,0
40002672000,Total,3
40002680000,Motorbike/scooter,0
40002680000,"Car, as driver",11
40002680000,"Car, as passenger",0
40002680000,Bicycle,0
40002680000,Walked only,0
40002680000,Train,0
40002680000,Bus,5
40002680000,Taxi/ride-share service,0
40002680000,Other Mode,0
40002680000,Total,20
40002700000,Motorbike/scooter,0
40002700000,"Car, as driver",16
40002700000,"Car, as passenger",0
40002700000,Bicycle,0
40002700000,Walked only,0
40002700000,Train,0
40002700000,Bus,0
40002700000,Taxi/ride-share service,0
40002700000,Other Mode,0
40002700000,Total,23
40002710000,Motorbike/scooter,0
40002710000,"Car, as driver",9
40002710000,"Car, as passenger",0
40002710000,Bicycle,0
40002710000,Walked only,0
40002710000,Train,0
40002710000,Bus,0
40002710000,Taxi/ride-share service,0
40002710000,Other Mode,0
40002710000,Total,8
40002720000,Motorbike/scooter,0
40002720000,"Car, as driver",5
40002720000,"Car, as passenger",0
40002720000,Bicycle,0
40002720000,Walked only,0
40002720000,Train,0
40002720000,Bus,0
40002720000,Taxi/ride-share service,0
40002720000,Other Mode,0
40002720000,Total,14
40002810000,Motorbike/scooter,0
40002810000,"Car, as driver",0
40002810000,"Car, as passenger",0
40002810000,Bicycle,0
40002810000,Walked only,0
40002810000,Train,0
40002810000,Bus,0
40002810000,Taxi/ride-share service,0
40002810000,Other Mode,0
40002810000,Total,0
40002830000,Motorbike/scooter,0
40002830000,"Car, as driver",21
40002830000,"Car, as passenger",4
40002830000,Bicycle,0
40002830000,Walked only,13
40002830000,Train,0
40002830000,Bus,0
40002830000,Taxi/ride-share service,3
40002830000,Other Mode,0
40002830000,Total,35
40003300000,Motorbike/scooter,0
40003300000,"Car, as driver",22
40003300000,"Car, as passenger",5
40003300000,Bicycle,8
40003300000,Walked only,4
40003300000,Train,0
40003300000,Bus,7
40003300000,Taxi/ride-share service,0
40003300000,Other Mode,0
40003300000,Total,37
40003310000,Motorbike/scooter,0
40003310000,"Car, as driver",10
40003310000,"Car, as passenger",0
40003310000,Bicycle,0
40003310000,Walked only,3
40003310000,Train,0
40003310000,Bus,3
40003310000,Taxi/ride-share service,0
40003310000,Other Mode,0
40003310000,Total,21
40003320000,Motorbike/scooter,0
40003320000,"Car, as driver",5
40003320000,"Car, as passenger",5
40003320000,Bicycle,0
40003320000,Walked only,8
40003320000,Train,0
40003320000,Bus,4
40003320000,Taxi/ride-share service,0
40003320000,Other Mode,0
40003320000,Total,19
40003330000,Motorbike/scooter,0
40003330000,"Car, as driver",9
40003330000,"Car, as passenger",0
40003330000,Bicycle,0
40003330000,Walked only,0
40003330000,Train,0
40003330000,Bus,0
40003330000,Taxi/ride-share service,0
40003330000,Other Mode,0
40003330000,Total,9
40003340000,Motorbike/scooter,0
40003340000,"Car, as driver",0
40003340000,"Car, as passenger",0
40003340000,Bicycle,0
40003340000,Walked only,0
40003340000,Train,0
40003340000,Bus,0
40003340000,Taxi/ride-share service,0
40003340000,Other Mode,0
40003340000,Total,3
40003351000,Motorbike/scooter,0
40003351000,"Car, as driver",7
40003351000,"Car, as passenger",0
40003351000,Bicycle,0
40003351000,Walked only,0
40003351000,Train,0
40003351000,Bus,0
40003351000,Taxi/ride-share service,0
40003351000,Other Mode,0
40003351000,Total,13
40003352000,Motorbike/scooter,0
40003352000,"Car, as driver",4
40003352000,"Car, as passenger",0
40003352000,Bicycle,0
40003352000,Walked only,0
40003352000,Train,0
40003352000,Bus,0
40003352000,Taxi/ride-share service,0
40003352000,Other Mode,0
40003352000,Total,3
