2-digit level  MTWP Method of Travel to Work,"Car, as driver","Car, as passenger",Train,Bus,Taxi/ride-share service,Bicycle,Walked only,Total
40002942000,0,0,0,0,0,0,0,0
40000960000,4,0,0,0,0,0,8,14
40001000000,10,0,0,0,0,0,7,19
40001100000,11,0,0,0,0,3,12,29
40002350000,4,0,0,0,0,0,9,16
40002990000,11,0,0,0,0,0,15,30
40003000000,6,0,0,0,0,0,3,11
40003240000,0,0,0,0,0,0,0,0
40215133500,0,0,0,0,0,0,0,0
40215154800,9,0,0,0,0,0,10,19
40215299300,0,0,0,0,0,0,0,0
40243840000,0,0,0,0,0,0,0,0
40243860000,6,4,0,0,0,3,10,23
40414820000,0,0,0,0,0,0,0,0
40414840000,0,0,0,0,0,0,0,0
40001731000,0,0,0,0,0,0,0,0
40001733000,8,0,0,13,0,0,5,26
40244450000,26,7,4,5,5,0,31,72
40000681000,0,0,0,0,0,0,0,0
40000682000,0,0,0,0,0,0,0,6
40000683000,0,0,0,0,0,0,0,0
40000684000,0,0,0,0,0,0,0,0
40000740000,0,0,0,0,0,0,0,0
40001221000,0,0,0,0,0,0,0,0
40001222000,0,0,0,0,0,0,0,0
40001223000,0,0,0,0,0,0,0,0
40002050000,10,0,3,7,0,0,19,44
40214964000,0,0,0,0,0,0,0,0
40215153600,19,4,4,21,0,0,62,112
40215153800,0,0,0,0,0,0,0,0
40244230000,0,0,0,0,0,0,0,0
40244240000,0,0,0,3,0,0,7,12
40244250000,0,0,0,0,0,0,0,0
40244271000,0,0,0,11,0,0,0,15
40244272000,0,0,0,0,0,0,0,0
40244281000,26,10,0,19,3,0,35,94
40244282000,0,0,0,0,0,0,0,0
40244481000,0,0,0,0,0,0,0,0
40244482000,0,0,0,0,0,0,0,0
40244500000,0,0,0,0,0,0,0,3
40414790000,0,0,0,0,0,0,0,0
40414980000,0,0,0,0,0,0,0,0
40429600000,0,0,0,0,0,0,0,0
44321000000,0,0,0,3,0,0,0,4
44321600000,12,0,0,6,0,0,23,39
40000591000,10,0,0,10,0,0,10,30
40000592000,10,0,4,10,0,0,12,37
40001181000,0,0,0,0,0,0,0,0
40001182000,0,0,0,0,0,3,3,13
40001183000,0,6,0,4,0,0,3,9
40002430000,8,0,0,9,5,0,18,47
40244300000,25,4,0,10,0,0,19,59
40001580000,0,0,0,0,0,0,0,0
40002281000,0,0,0,0,0,0,0,0
40002282000,0,0,0,0,0,0,0,0
40002283000,4,0,0,0,0,0,9,19
40002291000,0,0,0,0,0,0,12,11
40002292000,7,0,0,0,0,0,3,10
40002730000,0,0,0,0,0,0,0,0
40002770000,74,10,0,18,3,0,63,163
40000630000,14,0,0,0,0,0,10,26
40001020000,3,0,0,0,0,0,3,13
40001041000,0,0,0,0,0,0,0,0
40002580000,0,0,0,0,0,0,0,0
40214956200,6,0,0,6,0,0,9,25
40215046000,18,7,4,11,0,4,25,67
40215151400,6,0,0,12,0,0,20,44
40215245400,32,0,0,5,0,3,36,78
40000030000,0,0,0,0,0,0,0,0
40000040000,0,0,0,4,0,0,0,8
40000051000,0,0,0,0,0,0,0,0
40000060000,0,0,0,0,0,0,3,9
40002210000,44,8,0,20,0,0,74,145
40002891000,21,0,0,6,0,0,18,48
40003120000,0,0,0,0,0,0,17,23
40244180000,0,0,0,0,0,0,0,0
40244190000,0,0,0,0,0,0,0,4
40244200000,0,0,0,0,0,0,3,3
40414780000,0,0,0,0,0,0,0,0
40429510000,0,0,0,0,0,0,0,0
40002230000,8,0,0,0,0,0,0,8
40002911000,5,0,0,8,0,0,4,14
40002912000,0,0,0,0,0,0,3,5
40002913000,0,0,0,0,0,0,0,0
40244520000,0,0,0,0,0,0,0,7
40244530000,0,0,0,0,0,0,0,0
40000672000,0,0,0,0,0,0,0,4
40000674000,0,0,0,0,0,0,0,0
